Date,Open,High,Low,Close,Volume
18-Nov-09,42.25,43.09,42.01,42.98,1828803
17-Nov-09,42.39,42.61,41.86,42.57,1960373
16-Nov-09,41.61,42.79,41.11,42.57,2010042
13-Nov-09,39.73,41.34,39.64,41.13,2108414
12-Nov-09,41.25,41.6,39.41,39.57,1994146
11-Nov-09,41.99,42.23,41.14,41.35,1217653
10-Nov-09,41.08,42.09,40.97,41.6,1452246
9-Nov-09,40.5,41.48,40.5,41.06,1590744
6-Nov-09,40.53,40.86,39.74,40.07,1213749
5-Nov-09,40.19,41,40.13,40.74,1654760
4-Nov-09,39.64,40.27,39.32,39.76,2091793
3-Nov-09,37.91,39.23,37.75,39.12,1853034
2-Nov-09,38.78,38.97,37.7,38.45,2570181
30-Oct-09,39.5,39.88,38.22,38.43,2834718
29-Oct-09,40,41.4,39.86,40.99,2162348
28-Oct-09,41.5,41.53,39.54,39.56,2736923
27-Oct-09,43.75,43.75,41.47,41.87,2586977
26-Oct-09,44.12,45.23,43.35,43.65,2122187
23-Oct-09,45,45.5,44.13,44.37,3446757
22-Oct-09,44.02,45.55,42.57,44.78,5310540
21-Oct-09,44.28,45.52,43.94,44.93,3067859
20-Oct-09,44.84,45,43.83,44.64,2158776
19-Oct-09,45.14,45.27,44.44,44.9,2377287
16-Oct-09,45.2,45.49,44.23,44.76,2476392
15-Oct-09,44.9,45.57,44.21,45.57,1050795
14-Oct-09,44.25,45.11,44.14,45.05,2258793
13-Oct-09,43.87,43.97,43.3,43.75,1438495
12-Oct-09,42.96,44.48,42.65,43.77,2138277
9-Oct-09,41.92,42.62,41.68,42.39,1015328
8-Oct-09,42.08,42.62,41.6,42.28,1527650
7-Oct-09,40.86,41.96,40.86,41.84,1250141
6-Oct-09,40.39,41.25,40.22,41.11,2569632
5-Oct-09,38.99,39.97,38.99,39.87,1928140
2-Oct-09,37.59,39.24,36.92,38.67,2366548
1-Oct-09,39.7,39.99,37.53,37.75,2541116
30-Sep-09,39.42,40.9,38.89,40.17,3030833
29-Sep-09,39.8,39.98,39.21,39.52,693029
28-Sep-09,38.92,39.98,38.6,39.76,1448509
25-Sep-09,39.79,40.2,38.22,38.52,2032043
24-Sep-09,40.26,40.97,39.52,40.2,1805890
23-Sep-09,41.12,41.12,40.03,40.04,1900855
22-Sep-09,40.35,41.17,40.35,41.09,1302967
21-Sep-09,40.05,40.35,38.81,40.16,1055567
18-Sep-09,40.85,41.04,40.33,40.77,1257376
17-Sep-09,40.74,41.15,40.09,40.63,1621525
16-Sep-09,40.08,41.19,40,40.66,1804208
15-Sep-09,39.68,40.4,39.35,40,1937514
14-Sep-09,38.9,39.79,38.38,39.78,1758299
11-Sep-09,39,39.5,38.78,39.24,2537911
10-Sep-09,38.36,38.93,37.57,38.75,2290540
9-Sep-09,37.72,38.26,37,38.08,2052081
8-Sep-09,37.45,38,36.85,37.32,2694649
4-Sep-09,35.26,36.46,35.02,36.31,2076566
3-Sep-09,34.39,35.22,34.07,35.12,1832300
2-Sep-09,33.7,34.39,33.15,34,2108871
